gene	srci	threshold_stability	n_enhancers	n_core_strict	n_regional_strict	n_regional_domains_strict	regional_evidence_strict	domain_diversity_strict	n_q01_enhancers	min_enhancer_q	rna_mean	rna_detected_fraction	srci_rank	confirmed_mixed	threshold_stable_mixed	above_elbow
her6	0.008619360807265629	4	20	3	1	1	0.0057428415473809	0.0	15	0.0111111111111111	5.702056985240077	0.8010233592880979	127	False	True	False
tbx1	0.008267313210623448	1	20	0	3	2	0.0493446857245068	0.9182958340544894	13	0.025	0.7912213272999024	0.2728364849833148	128	False	False	False
klf7a	0.00791362114348932	4	20	1	1	1	0.0097536283588518	0.0	8	0.02	0.8870206339985477	0.5238709677419355	129	False	True	False
tgif1	0.00752124133725809	1	20	0	2	1	0.0249264602943753	0.0	9	0.0333333333333333	6.541589497529397	0.9491879866518353	130	False	False	False
sox2	0.007499862796544543	2	20	8	1	1	0.008891577429234	0.0	17	0.0111111111111111	10.554583367998323	0.853392658509455	131	False	True	False
ntd5	0.007475679160686849	4	20	3	1	1	0.0067011750929171	0.0	4	0.0333333333333333	2.937807163003049	0.5089210233592881	132	False	True	False
krt99	0.007454369568486398	3	20	11	1	1	0.0054369588901599	0.0	19	0.0071428571428571	5.809627056071491	0.6208676307007787	133	False	True	False
chst11	0.007314668673285815	1	20	0	2	1	0.024241849194223397	0.0	12	0.0166666666666666	0.6226111384729522	0.4321245828698554	134	False	False	False
tshz3b	0.007259042788027139	3	20	1	1	1	0.0097950924766575	0.0	8	0.025	1.705763539842265	0.6223804226918799	135	False	True	False
alcamb	0.0069181107203699875	1	20	1	2	1	0.022927599906834	0.0	7	0.025	13.245829217715917	0.9721023359288098	136	False	False	False
six3b	0.006894269029387662	2	20	1	2	1	0.0180691597632944	0.0	6	0.025	1.1185473111789674	0.46989988876529476	137	False	True	False
bmp2b	0.006037669683749319	4	20	2	1	1	0.0060402436810451	0.0	8	0.025	2.657082006409163	0.6681201334816462	138	False	True	False
krt4	0.005792855405946982	2	20	16	1	1	0.0057292852456454	0.0	20	0.0055555555555555	29.6672909714414	0.9808676307007786	139	False	True	False
fbln2	0.005155401454844068	1	20	3	1	1	0.0184851420616695	0.0	5	0.025	2.0793448061787627	0.7329032258064516	140	False	False	False
dld	0.00438786973365967	2	20	7	1	1	0.0055105051544039	0.0	19	0.01	7.642458468170708	0.6864516129032258	141	False	True	False
ved	0.004336669008972915	2	20	3	1	1	0.0077747526945725	0.0	3	0.0666666666666666	4.225385608384261	0.8315016685205784	142	False	True	False
nr2f2	0.004102811724578604	1	20	8	1	1	0.0102825405180645	0.0	13	0.0111111111111111	4.937679810116456	0.7400222469410456	143	False	False	False
rx3	0.004045529148901236	1	20	6	1	1	0.0112269851763694	0.0	10	0.0166666666666666	3.1741067824189657	0.47239154616240264	144	False	False	False
lamb1a	0.004019419032257745	1	20	0	3	2	0.0547036036187322	0.9182958340544894	3	0.05	30.442549951627022	0.9943047830923248	145	False	False	False
znf185	0.0038205231040399	2	20	2	1	1	0.0073596025712419	0.0	6	0.0333333333333333	5.02863465239834	0.5680088987764182	146	False	True	False
rfx2	0.003766216164049147	3	20	0	1	1	0.005308299094242	0.0	7	0.0166666666666666	5.553168244537559	0.9402447163515016	147	False	True	False
mef2d	0.0037354908866133628	2	20	3	1	1	0.0060631747825504	0.0	12	0.0125	2.534407817446072	0.6822246941045607	148	False	True	False
fn1b	0.0035012468908165216	2	20	4	1	1	0.005065180975752	0.0	5	0.05	16.05382984108329	0.7138153503893214	149	False	True	False
foxb1b	0.0030998937306763643	1	20	0	2	2	0.030802179307521802	1.0	2	0.05	1.0403080800939473	0.43047830923248054	150	False	False	False
ism1	0.002963967030725641	2	20	3	1	1	0.0053137812941403	0.0	7	0.025	2.3961673500497636	0.7660066740823137	151	False	True	False
sdc4	0.002953436202271233	1	20	0	2	1	0.0242630785528962	0.0	7	0.0333333333333333	2.9003173915037896	0.8644271412680756	152	False	False	False
hivep2a	0.0029384160234465274	1	20	0	1	1	0.0154348836939895	0.0	12	0.0333333333333333	0.7205940681739631	0.4907675194660734	153	False	False	False
fgf8a	0.002934917551385566	1	20	2	1	1	0.0122172927065257	0.0	7	0.02	4.179531265306207	0.8038709677419354	154	False	False	False
wnt11f2	0.0027886443690280397	1	20	0	2	1	0.0217011856293831	0.0	2	0.1	3.6653533130307845	0.7513681868743047	155	False	False	False
szl	0.002594370241473898	1	20	2	1	1	0.0107996834916956	0.0	3	0.05	2.127477416449905	0.43790878754171303	156	False	False	False
pax3a	0.002313272169324276	1	20	2	1	1	0.0096295458757102	0.0	4	0.0333333333333333	6.373220017221858	0.7195105672969967	157	False	False	False
her12	0.002248440581343835	2	20	0	2	1	0.0167074191759858	0.0	2	0.05	1.9024309120686889	0.6338153503893215	158	False	True	False
vent	0.0022335357757713855	1	20	1	1	1	0.0117322954443191	0.0	1	0.1	0.7481668544281057	0.3195550611790879	159	False	False	False
gata3	0.0020962088562370995	1	20	8	1	1	0.0052535563280807	0.0	19	0.0111111111111111	0.9777476266338275	0.4065406006674082	160	False	False	False
grhl1	0.0020727194190645172	1	20	6	1	1	0.0057521252068918	0.0	14	0.0111111111111111	2.8011588386957595	0.46798665183537264	161	False	False	False
pcdh8	0.001917395628736948	1	20	5	1	1	0.005686217662915	0.0	12	0.0166666666666666	2.161298604565233	0.5624026696329255	162	False	False	False
admp	0.0018190631576791617	1	20	0	2	2	0.0196039150845502	1.0	3	0.0333333333333333	0.5107723130605317	0.3288542825361513	163	False	False	False
kazald2	0.0018075207525927203	1	20	2	1	1	0.0075242352539408	0.0	3	0.05	1.5121485191040607	0.5875417130144606	164	False	False	False
hoxb1b	0.0016522605403921419	1	20	3	1	1	0.0059243244351692	0.0	3	0.0666666666666666	3.9542698342274587	0.6378197997775306	165	False	False	False
dkc1	0.0015026612482226171	1	20	0	2	1	0.0165995633991057	0.0	2	0.05	28.975064770634802	0.9959065628476085	166	False	False	False
cxcr4a	0.0014754509577309394	1	20	0	2	1	0.0224393976583354	0.0	2	0.05	1.0628273138945534	0.522313681868743	167	False	False	False
eif3ea	0.0014380076906975322	1	20	0	2	1	0.014648177080190498	0.0	6	0.05	9.351576330140698	0.9783759733036708	168	False	False	False
pbx4	0.00138859272158088	1	20	2	1	1	0.0057803476358972	0.0	4	0.0333333333333333	32.614345860584656	0.997908787541713	169	False	False	False
cdh6	0.0	0	20	0	6	3	0.039947221814405506	0.8649735207179272	17	0.0428571428571428	1.708103070493405	0.5817575083426029	170	False	False	False
gsc	0.0	0	20	0	3	1	0.027342529152032197	0.0	9	0.02	0.6510204387227548	0.46362625139043384	171	False	False	False
rbmx	0.0	0	20	0	3	2	0.038816128997590196	0.9182958340544894	11	0.025	9.468755570230483	0.9806451612903225	172	False	False	False
gbx1	0.0	0	20	0	2	1	0.0199562132903024	0.0	3	0.0333333333333333	1.2977025068749137	0.4771078976640712	173	False	False	False
kdrl	0.0	0	20	0	2	1	0.0165035948787228	0.0	2	0.05	0.6843090356355869	0.44440489432703	174	False	False	False
