gene	n_candidate_peaks_tested	n_significant_positive_links	latent_mask_fraction	mask_low_center	mask_high_center	control_p99	n_enhancers_retained	rank_eligible	note	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	absolute_divergence_score	absolute_rank
rxrgb	50	35	0.05864293659621802	0.03789499718138763	0.19495461469323308	16.910772468449263	35	True		1.248475540050184	1.217369489650038	1.9419496524106459	2.1375121067830207	0.42853932474021134	1.5258651849943687	23.0
rpl10	42	10	0.3785539488320356	0.1457752759578755	0.40715477807316325	121.24048487971999	10	True		1.4205961216425784	1.273940633868389	1.673186468623071	1.8943173882646682	0.431766614475386	1.5216322604347754	24.0
ctcf	75	39	0.4324360400444939	0.13245704826597557	0.2775594852882154	63.17973560606069	39	True		1.3034946552307634	1.2248627628741415	1.8459298662993266	1.9724037994041805	0.39857506729001957	1.5204687396581886	25.0
raraa	64	49	0.2706562847608454	0.0494410983556057	0.32148893033428766	26.303899033721173	49	True		1.2603342622939142	1.2497263761011796	1.9010346806487393	1.9848993525857737	0.4080908726412062	1.5166144296358444	26.0
rpl19	75	36	0.3793993325917686	0.1912546891022527	0.3684959097507708	35.93142239420863	36	True		1.2842959405880212	1.2598275130342	1.8505838936590209	1.934727107462219	0.33921765907762524	1.510811121816421	27.0
rps3	44	30	0.6367519466073415	0.1809346639885898	0.33746058643974275	81.93967004881809	30	True		1.2582957787823692	1.174645471113956	1.8859177325651701	1.9112045395130652	0.4429351968089665	1.5093445602954896	28.0
rps6	41	23	0.7369076751946607	0.25060885879030914	0.47291833381882714	217.9946272758788	23	True		1.3165264455038022	1.224788343641822	1.7557410111155871	1.9321307324151908	0.4017149709136814	1.492212271748516	29.0
mad1l1	25	6	0.29899888765294774	0.08174964728603905	0.22747336553603267	14.178356592246471	6	True		1.4270487530429208	1.356686140889912	1.5880204459263707	1.7412815890230091	0.2903412441598988	1.4914374301963007	30.0
tubb2b	82	67	0.5708120133481647	0.1536826732833134	0.2961934672803152	60.853121923971656	67	True		1.177648295048766	1.160843108272941	1.9607834082283162	2.0291580445200674	0.4061118906581452	1.490902340320586	31.0
cdc14b	46	38	0.21597330367074527	0.11563088954321372	0.31060847387007895	22.98526950130973	38	True		1.2547224265769934	1.147496595710183	1.8411118070442989	2.0152317151913755	0.4188709918422845	1.4892781787639155	32.0
cdh1	43	29	0.17201334816462735	0.05025810738088662	0.3609645893802215	60.756057876973266	29	True		1.2594250953095338	1.1857672618042705	1.8288161939749896	1.997974899587459	0.47010418317709884	1.4871815347757162	33.0
ppp1r7	60	52	0.0008453837597330367	0.009634453917865727	0.2031368998212062	3.0607009148036166	52	True		1.3467520060242777	1.345461100889693	1.6863587418059713	1.8578850316600406	0.15984720166375396	1.4825947003369553	34.0
nop58	53	42	0.5163515016685206	0.12891082756715336	0.34955479997289335	114.43973912067104	42	True		1.2621905540393792	1.2228864215808808	1.810816583570969	1.8194105616145069	0.39253118053961816	1.481640965852015	35.0
xbp1	73	47	0.014193548387096775	0.037039672549708996	0.6961440168135287	241.0234938735509	47	True		0.9204612391457028	1.0371691097558822	2.314269041189128	2.5055941178919627	0.5219472534128818	1.4779843599630729	36.0
lef1	88	54	0.1524805339265851	0.04662120013092504	0.35163834797641563	26.512674612763657	54	True		1.2221964043857028	1.1501966239623829	1.856437089334521	1.9169860486589578	0.4289877029055103	1.4758926783652302	37.0
