gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
ZNF316	20	0	0	20	0	0.0	0.0	0.0	9189
EFNA2	20	0	0	20	0	0.0	0.0	0.0	9190
PSMC5	20	0	0	20	0	0.0	0.0	0.0	9191
RNF123	20	0	0	20	0	0.0	0.0	0.0	9192
METTL16	20	0	0	20	0	0.0	0.0	0.0	9193
PNMA8A	20	0	0	20	0	0.0	0.0	0.0	9194
CMTM7	20	0	0	20	0	0.0	0.0	0.0	9195
VAC14	20	0	0	20	0	0.0	0.0	0.0	9196
DRD1	20	0	0	20	0	0.0	0.0	0.0	9197
UBE2D4	20	0	0	20	0	0.0	0.0	0.0	9198
ADIPOR2	20	0	0	20	0	0.0	0.0	0.0	9199
MPV17	20	0	0	20	0	0.0	0.0	0.0	9200
NAPA	20	0	0	20	0	0.0	0.0	0.0	9201
COX17	15	0	0	15	0	0.0	0.0	0.0	9202
TCTA	20	0	0	20	0	0.0	0.0	0.0	9203
POR	20	0	0	20	0	0.0	0.0	0.0	9204
RTL8C	17	0	0	17	0	0.0	0.0	0.0	9205
POLR1D	20	0	0	20	0	0.0	0.0	0.0	9206
TIMM21	20	0	0	20	0	0.0	0.0	0.0	9207
MED25	20	0	0	20	0	0.0	0.0	0.0	9208
DCK	16	0	0	16	0	0.0	0.0	0.0	9209
FZD8	20	0	0	20	0	0.0	0.0	0.0	9210
