gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
rpl5a	20	0	1	19	1	0.0264470805561882	0.0	0.0183317193215636	152
dkc1	20	0	2	18	1	0.0165995633991058	0.0	0.018236484336783	153
kdrl	20	0	2	18	1	0.0165035948787229	0.0	0.0181310521409651	154
cdx4	20	10	1	9	1	0.0256382693835261	0.0	0.0177710941376275	155
foxd5	20	1	2	17	1	0.0160445148118611	0.0	0.0176267011380281	156
vgll4l	20	4	2	14	1	0.0156283260842252	0.0	0.0171694710874422	157
eif3ea	20	0	2	18	1	0.0146481770801905	0.0	0.0160926673468839	158
tead1a	20	0	2	18	1	0.0131673916891455	0.0	0.0144658583194016	159
klf17	20	0	2	18	1	0.013039923277243	0.0	0.0143258199556685	160
ved	20	3	2	15	1	0.012860628744973	0.0	0.0141288447792257	161
cnmd	20	0	1	19	1	0.0163498614458844	0.0	0.0113328603637605	162
hivep2a	20	0	1	19	1	0.0154348836939895	0.0	0.0106986461147595	163
sox11b	20	0	1	19	1	0.0152662900572419	0.0	0.0105817859107876	164
dact2	20	1	1	18	1	0.0146122558673797	0.0	0.0101284439560948	165
c1qbp	11	0	1	10	1	0.0139586334215597	0.0	0.0096753874006239	166
meis2a	20	0	1	19	1	0.0129365807751572	0.0	0.0089669544903862	167
fgf8a	20	2	1	17	1	0.0122172927065257	0.0	0.0084683819936038	168
vent	20	1	1	18	1	0.0117322954443191	0.0	0.0081322075087261	169
gcm2	19	0	1	18	1	0.011552657524374	0.0	0.0080076919909945	170
raraa	20	1	1	18	1	0.0112567949856172	0.0	0.0078026157064218	171
rx3	20	6	1	13	1	0.0112269851763694	0.0	0.0077819531211888	172
szl	20	2	1	17	1	0.0107996834916956	0.0	0.0074857701632086	173
sox3	20	5	1	14	1	0.0107054720297075	0.0	0.0074204677539551	174
rasgef1ba	20	4	1	15	1	0.0105184044866221	0.0	0.0072908024138911	175
nr2f2	20	8	1	11	1	0.0102825405180645	0.0	0.0071273139690898	176
myclb	20	2	1	17	1	0.010271234147951	0.0	0.0071194769905232	177
foxp1b	20	0	1	19	1	0.0102625443528262	0.0	0.0071134536835329	178
klf2a	20	0	1	19	1	0.0098343432777065	0.0	0.0068166473156009	179
tshz3b	20	1	1	18	1	0.0097950924766575	0.0	0.0067894407335191	180
klf7a	20	1	1	18	1	0.0097536283588518	0.0	0.0067606999971676	181
prmt1	20	0	1	19	1	0.009685915037977	0.0	0.0067137646997169	182
chrd	20	1	1	18	1	0.009325912932149	0.0	0.0064642302550666	183
etv4	20	1	1	18	1	0.009072476281386	0.0	0.0062885613551397	184
sox2	20	8	1	11	1	0.008891577429234	0.0	0.006163171825804	185
irx5a	20	0	1	19	1	0.0083010635084751	0.0	0.0057538587665486	186
hoxb8a	20	0	1	19	1	0.0081033994133419	0.0	0.0056168484563091	187
twist2	20	3	1	16	1	0.0080635100605585	0.0	0.0055891992638929	188
ccnf	13	0	1	12	1	0.0079448506798594	0.0	0.0055069508487143	189
znfl2a	20	0	1	19	1	0.007921584974888	0.0	0.0054908242909097	190
lbx2	20	4	1	15	1	0.0078774131182184	0.0	0.005460206692999	191
ripply1	20	1	1	18	1	0.0076601798411339	0.0	0.0053096320594641	192
nkx1.2la	20	0	1	19	1	0.0075776184896097	0.0	0.0052524048914319	193
kazald2	20	2	1	17	1	0.0075242352539408	0.0	0.0052154024521388	194
lef1	20	1	1	18	1	0.0075158784118831	0.0	0.0052096099306281	195
znf185	20	2	1	17	1	0.0073596025712419	0.0	0.005101287772298	196
skia	20	0	1	19	1	0.0070534961600772	0.0	0.0048891109764479	197
her9	20	6	1	13	1	0.0069405862553536	0.0	0.0048108477943315	198
rplp2l	20	0	1	19	1	0.0067016441042497	0.0	0.0046452257159768	199
arf5	20	0	1	19	1	0.0066030923390619	0.0	0.0045769148377977	200
atf6	20	0	1	19	1	0.0065254658966854	0.0	0.0045231082881275	201
bach1b	20	0	1	19	1	0.0063587820008634	0.0	0.0044075718156938	202
hsp90aa1.2	18	0	1	17	1	0.0061447772292991	0.0	0.0042592350116576	203
mef2d	20	3	1	16	1	0.0060631747825504	0.0	0.004202672505767	204
rpl6	20	0	1	19	1	0.0060513883400744	0.0	0.0041945027663959	205
bmp2b	20	2	1	17	1	0.0060402436810451	0.0	0.0041867778774114	206
msgn1	20	5	1	14	1	0.0060333369227212	0.0	0.0041819904773524	207
f11r.1	20	0	1	19	1	0.0059989507128689	0.0	0.0041581557729431	208
tbx16l	20	4	1	15	1	0.0059713983153494	0.0	0.0041390579062848	209
cdh2	12	0	1	11	1	0.0058948472482883	0.0	0.0040859967499825	210
bmp7a	20	1	1	18	1	0.0058547792925425	0.0	0.0040582237594266	211
grhl1	20	6	1	13	1	0.0057521252068918	0.0	0.0039870693693848	212
her6	20	3	1	16	1	0.0057428415473809	0.0	0.0039806344269695	213
krt4	20	16	1	3	1	0.0057292852456454	0.0	0.0039712379146428	214
pcdh8	20	5	1	14	1	0.005686217662915	0.0	0.0039413857410997	215
irx3a	20	0	1	19	1	0.0056622106948884	0.0	0.0039247453788982	216
axin2	20	0	1	19	1	0.0055705596046428	0.0	0.0038612176840993	217
dld	20	7	1	12	1	0.0055105051544039	0.0	0.0038195911112361	218
helb	20	0	1	19	1	0.0054614388851389	0.0	0.0037855809650344	219
krt99	20	11	1	8	1	0.0054369588901599	0.0	0.0037686127255347	220
ism1	20	3	1	16	1	0.0053137812941403	0.0	0.0036832325221455	221
rfx2	20	0	1	19	1	0.005308299094242	0.0	0.0036794325507427	222
gata3	20	8	1	11	1	0.0052535563280807	0.0	0.003641487756722	223
arl4d	20	1	1	18	1	0.005244473482169	0.0	0.0036351920076868	224
efemp2b	20	3	1	16	1	0.005143720178126	0.0	0.0035653551390573	225
aspm	20	0	1	19	1	0.0051124972759607	0.0	0.0035437130724525	226
fn1b	20	4	1	15	1	0.005065180975752	0.0	0.0035109159123684	227
crabp2b	20	0	1	19	1	0.0050090444446718	0.0	0.0034720050341237	228
krt8	20	20	0	0	0	0.0	0.0	0.0	229
hoxc3a	20	13	0	7	0	0.0	0.0	0.0	230
krt18a.1	20	16	0	4	0	0.0	0.0	0.0	231
eppk1	20	8	0	12	0	0.0	0.0	0.0	232
hoxc6a	20	11	0	9	0	0.0	0.0	0.0	233
meox1	20	8	0	12	0	0.0	0.0	0.0	234
sox11a	20	4	0	16	0	0.0	0.0	0.0	235
hoxc8a	20	6	0	14	0	0.0	0.0	0.0	236
